title,stock,genre,creator,first air date,last air date,total seasons,total episodes,status,episode runtime,production company,production country,networks,image path,description,keywords
Travelers (2016),Welcome to the 21st.,"Drama, Sci-Fi & Fantasy",Brad Wright,2016-10-17,2018-12-14,3,34,Canceled,45 min.,Peacock Alley Entertainment,Canada,"Showcase, Netflix",https://image.tmdb.org/t/p/w185/aUVeyeyTrQrSFuUkqLCT8FtV7pp.jpg,"Hundreds of years from now, the last surviving humans discover the means of sending consciousness back through time, directly into people in the 21st century. These ""travelers"" assume the lives of seemingly random people, while secretly working as teams to perform missions in order to save humanity from a terrible future.","time travel, north america"
Orange Is the New Black (2013),Every sentence is a story.,"Comedy, Drama",Jenji Kohan,2013-07-11,2019-07-26,7,91,Ended,60 min.,Lionsgate Television,United States of America,Netflix,https://image.tmdb.org/t/p/w185/ekaa7YjGPTkFLcPhwWXTnARuCEU.jpg,"A crime she committed in her youthful past sends Piper Chapman to a women's prison, where she trades her comfortable New York life for one of unexpected camaraderie and conflict in an eccentric group of fellow inmates.","prison, women's prison, lesbian relationship, prison life"
Bakugan (2018),unknown,"Animation, Kids","Joe Kelly, Duncan Rouleau, Steven T. Seagle, Joe Casey",2018-12-23,2023-03-01,6,338,Ended,11 min.,Nelvana,"Canada, Japan, United States of America","Cartoon Network, Teletoon, Netflix",https://image.tmdb.org/t/p/w185/go2IfyqSK7YJ403tvugctEQgjxQ.jpg,Follow the adventures of Dan Kouzo and his best friends: the first kids on Earth to bond with the mysterious creatures known as Bakugan!,"based on toy, reboot, based on card game, pet monster, talking dragon, proxy battle, children's anime"
House of Cards (2013),There are two kinds of pain.,Drama,Beau Willimon,2013-02-01,2018-11-02,6,73,Ended,unknown,MRC,United States of America,Netflix,https://image.tmdb.org/t/p/w185/hKWxWjFwnMvkWQawbhvC0Y7ygQ8.jpg,"Set in present day Washington, D.C., House of Cards is the story of Frank Underwood, a ruthless and cunning politician, and his wife Claire who will stop at nothing to conquer everything. This wicked political drama penetrates the shadowy world of greed, sex and corruption in modern D.C.","usa president, manipulation, politics, revenge, breaking the fourth wall, power politics, political corruption, vice president, usa politics"
Grace and Frankie (2015),One more happy ending.,"Comedy, Drama","Howard J. Morris, Marta Kauffman",2015-05-08,2022-04-29,7,94,Ended,32 min.,Skydance Television,United States of America,Netflix,https://image.tmdb.org/t/p/w185/b0ldaLD1rSqg5DMxHBkNFAYIUQP.jpg,"Elegant, proper Grace and freewheeling, eccentric Frankie are a pair of frenemies whose lives are turned upside down - and permanently intertwined - when their husbands leave them for each other. Together, they must face starting over in their 70s in a 21st century world.","divorce, family, beach house, lgbt, elderly, frenemies, senescence"
3 Body Problem (2024),unknown,"Sci-Fi & Fantasy, Mystery, Drama","David Benioff, D.B. Weiss, Alexander Woo",2024-03-21,unknown,1,8,Returning Series,unknown,Plan B Entertainment,"China, United Kingdom, United States of America",Netflix,https://image.tmdb.org/t/p/w185/sphnjjiYb50SbWMToW7fyGigH1n.jpg,"Across continents and decades, five brilliant friends make earth-shattering discoveries as the laws of science unravel and an existential threat emerges.","china, based on novel or book, alien civilization"
You (2018),A bloody good time.,Drama,"Greg Berlanti, Sera Gamble",2018-09-09,2023-03-09,5,40,Returning Series,unknown,Berlanti Productions,United States of America,"Lifetime, Netflix",https://image.tmdb.org/t/p/w185/7bEYwjUvlJW7GerM8GYmqwl4oS3.jpg,"A dangerously charming, intensely obsessive young man goes to extreme measures to insert himself into the lives of those he is transfixed by.","new york city, based on novel or book, jealousy, infidelity, cheating, female friendship, addiction, stalker, love, murder, serial killer, literary agent, psychological thriller, writer, relationship, fatal attraction, obsessive love, social media, voyeur, dark romance, dark, childhood memory, essay, thriller, bookstore"
Explained (2018),unknown,Documentary,Ezra Klein,2018-05-23,2021-10-15,3,44,Ended,20 min.,Vox Entertainment,United States of America,Netflix,https://image.tmdb.org/t/p/w185/4iiV2Fh4EA5of5B9Wtgllu0WDWA.jpg,"This documentary series, made in partnership with Vox, explain some of the world's current trends, from politics, to science to pop culture.","experiment, news, random, investigate, zeitgeist, eua, science"
Trailer Park Boys (2001),There's a new world order at Sunnyvale Trailer Park.,Comedy,Mike Clattenburg,2001-04-22,2018-03-30,12,105,Ended,22 min.,Sunnyvale Productions,Canada,"Showcase, Netflix",https://image.tmdb.org/t/p/w185/nIcIwVTYcZnW1BDzexGfFO7KmX1.jpg,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,"trailer park, white trash, dark comedy, marijuana, mockumentary, sitcom"
"Love, Death & Robots (2019)",The threesome you've been waiting for.,"Animation, Sci-Fi & Fantasy",Tim Miller,2019-03-15,2022-05-20,3,35,Returning Series,unknown,Blur Studio,United States of America,Netflix,https://image.tmdb.org/t/p/w185/asDqvkE66EegtKJJXIRhBJPxscr.jpg,"Terrifying creatures, wicked surprises and dark comedy converge in this NSFW anthology of animated stories presented by Tim Miller and David Fincher.","love, anthology, murder, gore, cyberpunk, apocalypse, robot, death, based on short story, adult animation, military, spaceship"
13 Reasons Why (2017),"If you're listening, you're too late.","Drama, Mystery",Brian Yorkey,2017-03-31,2020-06-05,4,49,Ended,57 min.,Paramount Television Studios,United States of America,Netflix,https://image.tmdb.org/t/p/w185/nel144y4dIOdFFid6twN5mAX9Yd.jpg,"After a teenage girl's perplexing suicide, a classmate receives a series of tapes that unravel the mystery of her tragic choice.","suicide, rape, sexual abuse, based on novel or book, depression, loss, high school, sodomy, bullying, sexual violence, guilt, mental illness, mental health, classmate, child molestation, audio cassette, sexual assault, amateur sleuth, based on young adult novel, hiv/aids epidemic, melodrama"
Vikings: Valhalla (2022),Kneel to no one.,"Action & Adventure, Drama, War & Politics",Jeb Stuart,2022-02-25,2023-01-12,3,19,Returning Series,51 min.,MGM Television,"Ireland, United States of America",Netflix,https://image.tmdb.org/t/p/w185/rDFy1fUU6OC3Mm0CLFB7u0fGwVN.jpg,"In this sequel to ""Vikings,"" a hundred years have passed and a new generation of legendary heroes arises to forge its own destiny — and make history.","fight, sword, viking, survival, historical, medieval, european history, war, blood, nordic history, historical war, sword & shield"
Sex Education (2019),Growth is a group project.,"Comedy, Drama",Laurie Nunn,2019-01-11,2023-09-21,4,32,Ended,unknown,Eleven,United Kingdom,Netflix,https://image.tmdb.org/t/p/w185/jCXd6L7Vp8pv631ogenyN0v2sxn.jpg,Inexperienced Otis channels his sex therapist mom when he teams up with rebellious Maeve to set up an underground sex therapy clinic at school.,"england, small town, sex therapy, high school, school, teenage sexuality, lgbt, lgbt teen, sex comedy, black lgbt, sex therapist, teenage protagonist, gay theme"
Money Heist (2017),The perfect robbery.,"Crime, Drama",Álex Pina,2017-05-02,2021-12-03,3,41,Ended,unknown,Vancouver Media,Spain,"Netflix, Antena 3",https://image.tmdb.org/t/p/w185/reEMJA1uzscCbkpeRJeTT2bjqUp.jpg,"To carry out the biggest heist in history, a mysterious man called The Professor recruits a band of eight robbers who have a single characteristic: none of them has anything to lose. Five months of seclusion - memorizing every step, every detail, every probability - culminate in eleven days locked up in the National Coinage and Stamp Factory of Spain, surrounded by police forces and with dozens of hostages in their power, to find out whether their suicide wager will lead to everything or nothing.","stockholm syndrome, spain, perfect crime, robbery, professor, flashback, heist, sexual tension, bank robbery, hostage situation, tunnel"
Fuller House (2016),Life is fuller with family.,"Family, Comedy",Jeff Franklin,2016-02-26,2020-06-02,5,75,Ended,30 min.,Warner Horizon Television,United States of America,Netflix,https://image.tmdb.org/t/p/w185/gp9u9KgxQmk5zKBcup5J8cslikd.jpg,"D.J. Tanner-Fuller is a widow and mother of three. Things become too much to handle, so she asks for help from her sister Stephanie and her best-friend Kimmy.","sibling relationship, san francisco, california, friends, family"
Shadowhunters (2016),All the Legends Are True,"Action & Adventure, Drama, Sci-Fi & Fantasy",Ed Decter,2016-01-12,2019-05-06,3,55,Ended,42 min.,Carteret Street Productions,"Canada, United States of America, Germany","Netflix, Freeform",https://image.tmdb.org/t/p/w185/66YHvvVduC21xcMXPpBBF0ywyVZ.jpg,"When Clary Fray's mother has disappeared, Clary joins a band of Shadowhunters; demon killing hunters, and gets caught up in a plan to save the world.","based on novel or book, magic, vampire, supernatural, werewolf, demon, supernatural creature, warlock, shadowhunter, fighting supernatural, rune, based on young adult novel"
